director_name,duration,movie_title,country,imdb_score
James Cameron,178,Avatar ,USA,7.9
Gore Verbinski,169,Pirates of the Caribbean: At World's End ,USA,7.1
Sam Mendes,148,Spectre ,UK,6.8
Christopher Nolan,164,The Dark Knight Rises ,USA,8.5
Doug Walker,"",Star Wars: Episode VII - The Force Awakens ,"",7.1
Andrew Stanton,132,John Carter ,USA,6.6
Sam Raimi,156,Spider-Man 3 ,USA,6.2
Nathan Greno,100,Tangled ,USA,7.8
Joss Whedon,141,Avengers: Age of Ultron ,USA,7.5
David Yates,153,Harry Potter and the Half-Blood Prince ,UK,7.5
Zack Snyder,183,Batman v Superman: Dawn of Justice ,USA,6.9
Bryan Singer,169,Superman Returns ,USA,6.1
Marc Forster,106,Quantum of Solace ,UK,6.7
Gore Verbinski,151,Pirates of the Caribbean: Dead Man's Chest ,USA,7.3
Gore Verbinski,150,The Lone Ranger ,USA,6.5
Zack Snyder,143,Man of Steel ,USA,7.2
Andrew Adamson,150,The Chronicles of Narnia: Prince Caspian ,USA,6.6
Joss Whedon,173,The Avengers ,USA,8.1
Rob Marshall,136,Pirates of the Caribbean: On Stranger Tides ,USA,6.7
Barry Sonnenfeld,106,Men in Black 3 ,USA,6.8
Peter Jackson,164,The Hobbit: The Battle of the Five Armies ,New Zealand,7.5
Marc Webb,153,The Amazing Spider-Man ,USA,7.0
Ridley Scott,156,Robin Hood ,USA,6.7
Peter Jackson,186,The Hobbit: The Desolation of Smaug ,USA,7.9
Chris Weitz,113,The Golden Compass ,USA,6.1
Peter Jackson,201,King Kong ,New Zealand,7.2
James Cameron,194,Titanic ,USA,7.7
Anthony Russo,147,Captain America: Civil War ,USA,8.2
Peter Berg,131,Battleship ,USA,5.9
Colin Trevorrow,124,Jurassic World ,USA,7.0
Sam Mendes,143,Skyfall ,UK,7.8
Sam Raimi,135,Spider-Man 2 ,USA,7.3
Shane Black,195,Iron Man 3 ,USA,7.2
Tim Burton,108,Alice in Wonderland ,USA,6.5
Brett Ratner,104,X-Men: The Last Stand ,Canada,6.8
Dan Scanlon,104,Monsters University ,USA,7.3
Michael Bay,150,Transformers: Revenge of the Fallen ,USA,6.0
Michael Bay,165,Transformers: Age of Extinction ,USA,5.7
Sam Raimi,130,Oz the Great and Powerful ,USA,6.4
Marc Webb,142,The Amazing Spider-Man 2 ,USA,6.7
Joseph Kosinski,125,TRON: Legacy ,USA,6.8
John Lasseter,106,Cars 2 ,USA,6.3
Martin Campbell,123,Green Lantern ,USA,5.6
Lee Unkrich,103,Toy Story 3 ,USA,8.3
McG,118,Terminator Salvation ,USA,6.6
James Wan,140,Furious 7 ,USA,7.2
Marc Forster,123,World War Z ,USA,7.0
Bryan Singer,149,X-Men: Days of Future Past ,USA,8.0
J.J. Abrams,132,Star Trek Into Darkness ,USA,7.8
Bryan Singer,114,Jack the Giant Slayer ,USA,6.3
Baz Luhrmann,143,The Great Gatsby ,Australia,7.3
Mike Newell,116,Prince of Persia: The Sands of Time ,USA,6.6
Guillermo del Toro,131,Pacific Rim ,USA,7.0
Michael Bay,154,Transformers: Dark of the Moon ,USA,6.3
Steven Spielberg,122,Indiana Jones and the Kingdom of the Crystal Skull ,USA,6.2
Peter Sohn,93,The Good Dinosaur ,USA,6.8
Mark Andrews,93,Brave ,USA,7.2
Justin Lin,122,Star Trek Beyond ,USA,7.5
Andrew Stanton,98,WALL·E ,USA,8.4
Brett Ratner,91,Rush Hour 3 ,USA,6.2
Roland Emmerich,158,2012 ,USA,5.8
Robert Zemeckis,96,A Christmas Carol ,USA,6.8
Lana Wachowski,127,Jupiter Ascending ,USA,5.4
David Yates,110,The Legend of Tarzan ,USA,6.6
Andrew Adamson,150,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",USA,6.9
Bryan Singer,144,X-Men: Apocalypse ,USA,7.3
