number,yearly_avg,monthly_avg,weekly_avg,daily_avg,hourly_avg
02070,22.0,11.0,5.5,1.6923076923076923,1.5714285714285714
93319,53.0,53.0,53.0,13.25,6.625
02943,34.0,5.666666666666667,3.4,3.090909090909091,2.6153846153846154
16504,5.0,5.0,5.0,2.5,2.5
60822,1.0,1.0,1.0,1.0,1.0
27108,2.0,2.0,1.0,1.0,1.0
75007,4.0,4.0,4.0,4.0,4.0
89864,25.0,25.0,5.0,5.0,5.0
88311,20.0,20.0,20.0,5.0,2.5
13192,12.0,12.0,6.0,2.0,2.0
88140,32.0,32.0,32.0,8.0,5.333333333333333
16320,4.0,4.0,2.0,2.0,1.3333333333333333
35350,6.0,6.0,6.0,3.0,2.0
61819,1.0,1.0,1.0,1.0,1.0
44032,1.0,1.0,1.0,1.0,1.0
15271,2.0,2.0,2.0,2.0,2.0
97128,4.0,4.0,4.0,4.0,1.3333333333333333
07200,20.0,10.0,4.0,2.857142857142857,2.2222222222222223
49307,21.0,21.0,21.0,5.25,2.3333333333333335
30966,48.0,24.0,8.0,2.526315789473684,1.411764705882353
57464,16.0,16.0,16.0,3.2,1.7777777777777777
26082,3.0,3.0,1.5,1.5,1.0
60132,7.0,7.0,3.5,1.75,1.75
03098,26.0,26.0,26.0,6.5,3.7142857142857144
54816,1.0,1.0,1.0,1.0,1.0
57904,2.0,2.0,1.0,1.0,1.0
22728,5.0,5.0,5.0,1.6666666666666667,1.6666666666666667
60493,1.0,1.0,1.0,1.0,1.0
47919,3.0,3.0,3.0,3.0,1.5
02527,3.0,3.0,3.0,3.0,3.0
14204,24.0,24.0,24.0,12.0,6.0
92332,43.0,43.0,43.0,10.75,4.3
43462,2.0,2.0,2.0,2.0,1.0
18992,2.0,2.0,2.0,2.0,2.0
18306,12.0,4.0,3.0,1.7142857142857142,1.3333333333333333
74605,36.0,36.0,36.0,7.2,6.0
81877,39.0,39.0,7.8,2.2941176470588234,1.95
23318,7.0,7.0,7.0,1.75,1.75
07243,1.0,1.0,1.0,1.0,1.0
56525,12.0,12.0,12.0,6.0,3.0
41105,10.0,10.0,10.0,2.0,1.4285714285714286
77303,3.0,3.0,3.0,3.0,3.0
23459,2.0,2.0,1.0,1.0,1.0
31432,1.0,1.0,1.0,1.0,1.0
06660,13.0,4.333333333333333,2.1666666666666665,1.4444444444444444,1.1818181818181819
80047,1.0,1.0,1.0,1.0,1.0
19132,5.0,5.0,5.0,2.5,2.5
93545,2.0,2.0,2.0,2.0,2.0
21783,1.0,1.0,1.0,1.0,1.0
38685,7.0,3.5,2.3333333333333335,1.75,1.4
02090,34.0,34.0,34.0,6.8,3.4
00332,2.0,2.0,1.0,1.0,1.0
16250,1.0,1.0,1.0,1.0,1.0
23918,33.0,33.0,33.0,6.6,4.714285714285714
64747,38.0,38.0,38.0,19.0,6.333333333333333
86900,13.0,13.0,6.5,6.5,4.333333333333333
05176,1.0,1.0,1.0,1.0,1.0
26005,1.0,1.0,1.0,1.0,1.0
42370,42.0,42.0,42.0,8.4,3.0
71047,1.0,1.0,1.0,1.0,1.0
44717,8.0,4.0,2.6666666666666665,2.0,1.3333333333333333
37982,4.0,4.0,4.0,1.3333333333333333,1.3333333333333333
67874,1.0,1.0,1.0,1.0,1.0
08935,26.0,26.0,26.0,8.666666666666666,3.7142857142857144
07998,3.0,3.0,3.0,3.0,3.0
74899,52.0,52.0,52.0,26.0,13.0
17686,1.0,1.0,1.0,1.0,1.0
78888,2.0,2.0,2.0,2.0,2.0
56831,17.0,4.25,2.4285714285714284,1.7,1.4166666666666667
45300,10.0,10.0,10.0,2.5,1.1111111111111112
60897,3.0,3.0,1.5,1.5,1.0
59467,1.0,1.0,1.0,1.0,1.0
46683,3.0,3.0,3.0,1.5,1.0
82993,20.0,20.0,20.0,3.3333333333333335,1.6666666666666667
88277,19.0,9.5,4.75,1.7272727272727273,1.3571428571428572
37774,4.0,4.0,4.0,4.0,2.0
63814,39.0,39.0,19.5,5.571428571428571,2.1666666666666665
87626,3.0,3.0,3.0,1.5,1.5
22121,1.0,1.0,1.0,1.0,1.0
00343,28.0,28.0,28.0,14.0,7.0
05236,4.0,4.0,4.0,2.0,2.0
48147,1.0,1.0,1.0,1.0,1.0
28675,5.0,5.0,5.0,5.0,5.0
69460,1.0,1.0,1.0,1.0,1.0
46870,18.0,18.0,6.0,2.0,1.3846153846153846
31713,37.0,18.5,12.333333333333334,7.4,7.4
06873,22.0,11.0,4.4,2.75,2.2
57215,7.0,3.5,2.3333333333333335,1.75,1.4
87103,2.0,2.0,2.0,1.0,1.0
30002,16.0,16.0,16.0,5.333333333333333,5.333333333333333
55456,3.0,3.0,3.0,3.0,1.5
91788,43.0,43.0,10.75,4.3,2.6875
66616,5.0,5.0,1.6666666666666667,1.25,1.25
90878,1.0,1.0,1.0,1.0,1.0
91910,17.0,17.0,17.0,8.5,5.666666666666667
03511,15.0,15.0,5.0,2.5,2.142857142857143
57569,4.0,2.0,2.0,1.3333333333333333,1.3333333333333333
06984,5.0,5.0,5.0,5.0,2.5
58358,24.0,24.0,24.0,8.0,4.8
36526,12.0,12.0,4.0,2.4,1.5
17714,11.0,11.0,11.0,3.6666666666666665,3.6666666666666665
39458,15.0,15.0,15.0,7.5,2.5
64612,5.0,5.0,5.0,2.5,1.6666666666666667
55445,7.0,7.0,1.75,1.75,1.4
64595,1.0,1.0,1.0,1.0,1.0
80258,4.0,4.0,4.0,4.0,4.0
65152,13.0,13.0,13.0,4.333333333333333,3.25
60733,5.0,1.6666666666666667,1.0,1.0,1.0
78313,4.0,4.0,4.0,1.3333333333333333,1.0
33174,4.0,4.0,4.0,2.0,1.3333333333333333
90783,2.0,2.0,2.0,2.0,1.0
13282,2.0,2.0,2.0,2.0,2.0
39350,1.0,1.0,1.0,1.0,1.0
25894,5.0,5.0,2.5,2.5,1.6666666666666667
28426,7.0,7.0,7.0,7.0,3.5
40340,4.0,2.0,2.0,2.0,2.0
48402,1.0,1.0,1.0,1.0,1.0
70822,33.0,33.0,33.0,8.25,4.714285714285714
90143,6.0,6.0,3.0,2.0,1.5
11078,15.0,15.0,15.0,7.5,3.75
04319,1.0,1.0,1.0,1.0,1.0
38252,6.0,6.0,6.0,6.0,6.0
10351,16.0,16.0,16.0,3.2,1.7777777777777777
27248,1.0,1.0,1.0,1.0,1.0
00556,4.0,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
63647,1.0,1.0,1.0,1.0,1.0
18726,15.0,15.0,15.0,5.0,3.75
80820,14.0,14.0,7.0,1.75,1.4
29912,17.0,17.0,17.0,17.0,5.666666666666667
92072,8.0,4.0,4.0,4.0,4.0
76056,27.0,27.0,27.0,27.0,27.0
54798,10.0,10.0,10.0,10.0,10.0
04868,2.0,2.0,2.0,2.0,2.0
36470,2.0,2.0,2.0,2.0,1.0
70078,11.0,5.5,2.2,1.8333333333333333,1.8333333333333333
28135,35.0,35.0,35.0,8.75,5.0
14369,2.0,2.0,2.0,2.0,2.0
71627,50.0,50.0,50.0,10.0,2.9411764705882355
21894,34.0,34.0,6.8,3.4,2.2666666666666666
82197,10.0,10.0,10.0,3.3333333333333335,2.0
51722,16.0,8.0,3.2,1.4545454545454546,1.3333333333333333
00530,19.0,19.0,19.0,4.75,3.1666666666666665
51244,5.0,5.0,5.0,5.0,5.0
89517,1.0,1.0,1.0,1.0,1.0
84272,6.0,6.0,6.0,3.0,2.0
52800,28.0,28.0,28.0,5.6,3.5
79785,3.0,3.0,3.0,3.0,1.5
31518,19.0,19.0,3.8,2.7142857142857144,1.9
20428,12.0,12.0,12.0,6.0,3.0
48078,3.0,3.0,3.0,3.0,3.0
25555,8.0,8.0,2.0,1.6,1.1428571428571428
58197,7.0,7.0,7.0,3.5,2.3333333333333335
24504,1.0,1.0,1.0,1.0,1.0
59370,3.0,3.0,1.5,1.5,1.0
60081,9.0,9.0,9.0,1.8,1.2857142857142858
59843,5.0,5.0,5.0,2.5,2.5
05629,16.0,16.0,4.0,2.6666666666666665,2.6666666666666665
70170,2.0,2.0,2.0,2.0,2.0
41998,1.0,1.0,1.0,1.0,1.0
82297,44.0,44.0,44.0,11.0,4.888888888888889
60070,4.0,4.0,4.0,2.0,2.0
84983,15.0,15.0,15.0,7.5,3.0
54609,17.0,17.0,17.0,4.25,3.4
67728,3.0,1.5,1.0,1.0,1.0
14838,15.0,15.0,15.0,3.75,2.142857142857143
55498,11.0,11.0,11.0,5.5,5.5
44446,7.0,7.0,7.0,3.5,3.5
30923,14.0,14.0,14.0,3.5,2.3333333333333335
72884,3.0,3.0,3.0,3.0,1.5
05163,11.0,11.0,3.6666666666666665,1.375,1.1
35670,42.0,42.0,42.0,8.4,3.8181818181818183
11888,9.0,9.0,9.0,9.0,4.5
22596,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
37311,2.0,2.0,2.0,2.0,2.0
44423,12.0,12.0,12.0,12.0,6.0
59891,1.0,1.0,1.0,1.0,1.0
38433,1.0,1.0,1.0,1.0,1.0
47960,6.0,6.0,3.0,3.0,3.0
26112,1.0,1.0,1.0,1.0,1.0
97935,10.0,10.0,5.0,2.0,1.4285714285714286
68325,13.0,6.5,3.25,3.25,3.25
93893,1.0,1.0,1.0,1.0,1.0
85405,7.0,3.5,3.5,2.3333333333333335,1.1666666666666667
21259,1.0,1.0,1.0,1.0,1.0
18556,1.0,1.0,1.0,1.0,1.0
06518,1.0,1.0,1.0,1.0,1.0
67074,14.0,14.0,14.0,7.0,3.5
46538,3.0,3.0,3.0,3.0,1.0
13610,13.0,13.0,6.5,6.5,6.5
68171,1.0,1.0,1.0,1.0,1.0
88649,2.0,2.0,2.0,2.0,2.0
27317,5.0,5.0,5.0,2.5,2.5
31039,6.0,3.0,1.5,1.5,1.5
14887,4.0,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
66762,26.0,26.0,26.0,13.0,13.0
89372,5.0,5.0,2.5,2.5,2.5
25912,1.0,1.0,1.0,1.0,1.0
19095,6.0,6.0,2.0,2.0,2.0
81824,23.0,23.0,5.75,4.6,3.2857142857142856
62912,8.0,8.0,2.6666666666666665,2.6666666666666665,2.6666666666666665
33783,35.0,11.666666666666666,7.0,5.833333333333333,5.0
38986,13.0,13.0,13.0,3.25,1.8571428571428572
92146,1.0,1.0,1.0,1.0,1.0
14157,6.0,6.0,3.0,1.2,1.2
47092,6.0,6.0,2.0,1.5,1.0
16576,7.0,3.5,2.3333333333333335,1.4,1.4
28503,33.0,33.0,33.0,11.0,11.0
07218,6.0,6.0,6.0,1.5,1.0
93964,8.0,8.0,2.6666666666666665,2.6666666666666665,2.6666666666666665
35444,2.0,2.0,2.0,2.0,2.0
10096,39.0,39.0,9.75,3.9,2.4375
58163,6.0,6.0,6.0,6.0,6.0
68794,1.0,1.0,1.0,1.0,1.0
57085,1.0,1.0,1.0,1.0,1.0
80422,9.0,9.0,4.5,1.5,1.2857142857142858
62481,20.0,20.0,20.0,6.666666666666667,4.0
63738,1.0,1.0,1.0,1.0,1.0
46534,5.0,5.0,5.0,5.0,5.0
97872,1.0,1.0,1.0,1.0,1.0
39590,95.0,47.5,19.0,8.636363636363637,4.130434782608695
48358,9.0,9.0,1.8,1.2857142857142858,1.0
56315,11.0,11.0,5.5,2.75,1.8333333333333333
84606,28.0,28.0,28.0,7.0,3.5
86180,14.0,14.0,4.666666666666667,1.75,1.5555555555555556
09877,1.0,1.0,1.0,1.0,1.0
77339,2.0,2.0,2.0,2.0,2.0
60351,1.0,1.0,1.0,1.0,1.0
55371,1.0,1.0,1.0,1.0,1.0
18130,17.0,17.0,5.666666666666667,2.8333333333333335,2.8333333333333335
92027,4.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
21452,3.0,3.0,3.0,1.0,1.0
52206,8.0,8.0,8.0,2.6666666666666665,2.0
